Designator,Mid X,Mid Y,Rotation,Layer
C1,143.0,-109.75,180.0,top
D1,126.5,-105.0,90.0,top
D3,169.5,-105.0,270.0,top
J1,120.75,-105.0,270.0,top
J3,175.25,-106.25,90.0,top
J4,175.25,-95.25,90.0,top
R1,126.0,-100.25,0.0,top
R3,169.5,-109.5,0.0,top
U1,143.3775,-105.984,180.0,top
